area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E07000147,North Norfolk,Tier 2,88.7,104.4,1.4,3.1,1.8,10,13.553113553113553
E07000148,Norwich,Tier 2,111.7,84.2,0.8,4.1,1.9,9,13.763736263736263
E07000149,South Norfolk,Tier 2,115.7,114.9,0.7,4.4,1.8,8.9,16.94139194139194
E07000150,Corby,Tier 2,124.6,205.5,0.7,4.4,2.5,25.1,27.600732600732602
E07000151,Daventry,Tier 2,117.5,90.5,0.8,4.4,4.1,21.3,16.227106227106226
E07000152,East Northamptonshire,Tier 2,122.7,144.5,0.9,4.1,2.5,22.8,21.62087912087912
E07000153,Kettering,Tier 2,124.8,102.2,0.7,4.2,2.5,25.4,18.168498168498168
E07000154,Northampton,Tier 2,179.4,134.6,0.7,5,5,24.3,26.33699633699634
E07000155,South Northamptonshire,Tier 2,151.3,135.3,0.6,5.8,3.6,17.9,23.17765567765568
E07000156,Wellingborough,Tier 2,115.4,74.4,0.6,3.9,3.2,24.9,14.743589743589745
E07000163,Craven,Tier 2,127.8,110.4,0.5,4.4,6.2,43.4,21.181318681318682
E07000164,Hambleton,Tier 2,111.4,42.3,0.6,4.4,1.6,22.5,11.117216117216119
E07000165,Harrogate,Tier 2,106.9,65.8,0.5,3.7,1.7,18.8,12.454212454212453
E07000166,Richmondshire,Tier 2,119.1,106.2,0.6,4.6,2.1,24.1,17.884615384615383
E07000167,Ryedale,Tier 2,106.5,94.2,0.7,4.4,1.7,24.2,15.595238095238095
E07000168,Scarborough,Tier 2,173.8,123.6,0.5,5.3,1.7,24.3,24.523809523809522
E07000169,Selby,Tier 2,157.8,119.6,0.6,5.7,2.1,28.2,23.13186813186813
E07000170,Ashfield,Tier 3,204,134,0.7,6.3,2.8,32.9,29.23992673992674
E07000171,Bassetlaw,Tier 3,229,204.7,0.6,7.3,3.2,36.6,38.46153846153847
E07000172,Broxtowe,Tier 3,132.4,146,0.7,5.7,3.9,35.2,24.03846153846154
E07000173,Gedling,Tier 3,158.6,125.4,0.7,6.7,4,35.8,24.706959706959708
E07000174,Mansfield,Tier 3,189.4,167.6,0.6,5.8,2.4,31.9,30.796703296703292
E07000175,Newark and Sherwood,Tier 3,185.4,185.3,0.8,6.9,2.8,33.3,32.33516483516484
E07000176,Rushcliffe,Tier 3,120,96.5,0.6,5,3.9,34.9,18.269230769230766
E07000177,Cherwell,Tier 2,96.3,47.2,0.9,3.6,1.8,6.8,8.717948717948719
E07000178,Oxford,Tier 2,139.1,55.9,0.9,4.9,1.8,6.8,13.553113553113553
E07000179,South Oxfordshire,Tier 2,59.1,39.2,0.5,2.5,1.9,8,4.560439560439561
E07000180,Vale of White Horse,Tier 2,64,25.6,0.6,2.8,1.7,7.2,3.708791208791209
E07000181,West Oxfordshire,Tier 2,52.4,45.4,0.6,1.9,1.8,6.9,4.3589743589743595
E07000187,Mendip,Tier 2,120.3,131.8,1.1,4.5,2.4,15.2,19.587912087912088
E07000188,Sedgemoor,Tier 2,99.9,82.5,0.5,3.1,0.4,3.4,11.758241758241757
E07000189,South Somerset,Tier 2,93.9,77.3,0.6,3.2,3.1,16.6,12.206959706959708
E07000192,Cannock Chase,Tier 3,225.3,174.1,0.8,6.7,4.3,42,35.879120879120876
E07000193,East Staffordshire,Tier 3,274.7,185.5,0.6,7.1,2.4,31.9,40.366300366300365
E07000194,Lichfield,Tier 3,196.6,155,0.5,5.6,3.1,34,30.53113553113553
E07000195,Newcastle-under-Lyme,Tier 3,297.4,256.5,0.7,8.2,5.6,49.2,50.93406593406593
E07000196,South Staffordshire,Tier 3,240.1,198.6,0.6,6.6,4.1,40.2,39.26739926739927
E07000197,Stafford,Tier 3,263,267.3,0.7,6.8,5.4,47.8,48.498168498168496
E07000198,Staffordshire Moorlands,Tier 3,207.2,171.5,0.6,5,5,46.9,34.32234432234432
E07000199,Tamworth,Tier 3,258.2,162.2,0.6,8.5,3.2,32.3,36.95970695970696
E07000200,Babergh,Tier 2,97.8,85.6,0.8,3.7,1.4,12,12.81135531135531
E07000202,Ipswich,Tier 2,154.8,121.9,1.5,4.3,1.1,16.3,21.84065934065934
E07000203,Mid Suffolk,Tier 2,40.4,52.1,0.7,1.7,1.4,11.8,4.276556776556776
E07000207,Elmbridge,Tier 2,77.5,58.2,0.5,3,1.4,19.2,9.010989010989011
E07000208,Epsom and Ewell,Tier 2,129,116.3,0.8,5,3,22.9,19.743589743589745
E07000209,Guildford,Tier 2,112.1,52.6,0.9,3.8,1.2,7.7,10.705128205128203
E07000210,Mole Valley,Tier 2,98.6,34.1,0.9,3.6,2.1,17.8,8.763736263736263
E07000211,Reigate and Banstead,Tier 2,94.1,119.8,0.9,3.4,1.5,15.3,15.897435897435896
E07000212,Runnymede,Tier 2,139.8,71.7,0.6,4.7,0.3,17.6,15.869963369963369
E07000213,Spelthorne,Tier 2,140.2,99.6,0.7,4.5,0.3,18,18.489010989010985
E07000214,Surrey Heath,Tier 2,141.1,26.3,1,4.6,1.2,12.4,11.465201465201464
E07000215,Tandridge,Tier 2,81.7,29.6,0.6,3,0.9,11.8,6.062271062271061
E07000216,Waverley,Tier 2,76,45.2,0.7,2.6,1.2,8.2,6.63919413919414
E07000217,Woking,Tier 2,173.6,83,1.1,5.7,0.4,16.2,20.01831501831502
E07000218,North Warwickshire,Tier 3,257.4,287.1,0.8,7.7,2.4,24.8,47.50915750915751
