area_code,area_name,indicator,period,measure,unit,value
E02001278,West Timperley,People on Universal Credit,2019-09,count,persons,142
E02001279,Timperley North,People on Universal Credit,2019-09,count,persons,93
E02001280,Timperley East,People on Universal Credit,2019-09,count,persons,418
E02001281,Timperley South,People on Universal Credit,2019-09,count,persons,90
E02001282,Altrincham East,People on Universal Credit,2019-09,count,persons,228
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-09,count,persons,184
E02001284,Hale,People on Universal Credit,2019-09,count,persons,88
E02001285,Bowdon,People on Universal Credit,2019-09,count,persons,142
E02001286,Hale Barns,People on Universal Credit,2019-09,count,persons,113
E02001259,Old Trafford,People on Universal Credit,2019-10,count,persons,979
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-10,count,persons,226
E02001261,Gorse Hill,People on Universal Credit,2019-10,count,persons,549
E02001262,Firswood,People on Universal Credit,2019-10,count,persons,459
E02001263,Davyhulme,People on Universal Credit,2019-10,count,persons,130
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-10,count,persons,351
E02001265,Flixton & Moorside,People on Universal Credit,2019-10,count,persons,285
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-10,count,persons,445
E02001267,Urmston East,People on Universal Credit,2019-10,count,persons,229
E02001268,Urmston West,People on Universal Credit,2019-10,count,persons,122
E02001269,Stretford East,People on Universal Credit,2019-10,count,persons,453
E02001270,Sale North,People on Universal Credit,2019-10,count,persons,212
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-10,count,persons,305
E02001272,Sale East,People on Universal Credit,2019-10,count,persons,147
E02001273,Sale Central,People on Universal Credit,2019-10,count,persons,235
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-10,count,persons,111
E02001275,Partington,People on Universal Credit,2019-10,count,persons,773
E02001276,Sale Moor,People on Universal Credit,2019-10,count,persons,408
E02001277,Broadheath & Firsway,People on Universal Credit,2019-10,count,persons,695
E02001278,West Timperley,People on Universal Credit,2019-10,count,persons,136
E02001279,Timperley North,People on Universal Credit,2019-10,count,persons,97
E02001280,Timperley East,People on Universal Credit,2019-10,count,persons,430
E02001281,Timperley South,People on Universal Credit,2019-10,count,persons,86
E02001282,Altrincham East,People on Universal Credit,2019-10,count,persons,225
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-10,count,persons,181
E02001284,Hale,People on Universal Credit,2019-10,count,persons,87
E02001285,Bowdon,People on Universal Credit,2019-10,count,persons,141
E02001286,Hale Barns,People on Universal Credit,2019-10,count,persons,113
E02001259,Old Trafford,People on Universal Credit,2019-11,count,persons,1005
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-11,count,persons,233
E02001261,Gorse Hill,People on Universal Credit,2019-11,count,persons,571
E02001262,Firswood,People on Universal Credit,2019-11,count,persons,470
E02001263,Davyhulme,People on Universal Credit,2019-11,count,persons,129
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-11,count,persons,351
E02001265,Flixton & Moorside,People on Universal Credit,2019-11,count,persons,294
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-11,count,persons,445
E02001267,Urmston East,People on Universal Credit,2019-11,count,persons,250
E02001268,Urmston West,People on Universal Credit,2019-11,count,persons,113
E02001269,Stretford East,People on Universal Credit,2019-11,count,persons,473
E02001270,Sale North,People on Universal Credit,2019-11,count,persons,219
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-11,count,persons,319
E02001272,Sale East,People on Universal Credit,2019-11,count,persons,150
E02001273,Sale Central,People on Universal Credit,2019-11,count,persons,244
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-11,count,persons,108
E02001275,Partington,People on Universal Credit,2019-11,count,persons,792
E02001276,Sale Moor,People on Universal Credit,2019-11,count,persons,405
E02001277,Broadheath & Firsway,People on Universal Credit,2019-11,count,persons,715
E02001278,West Timperley,People on Universal Credit,2019-11,count,persons,142
E02001279,Timperley North,People on Universal Credit,2019-11,count,persons,100
E02001280,Timperley East,People on Universal Credit,2019-11,count,persons,442
E02001281,Timperley South,People on Universal Credit,2019-11,count,persons,88
E02001282,Altrincham East,People on Universal Credit,2019-11,count,persons,225
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-11,count,persons,190
E02001284,Hale,People on Universal Credit,2019-11,count,persons,77
E02001285,Bowdon,People on Universal Credit,2019-11,count,persons,148
E02001286,Hale Barns,People on Universal Credit,2019-11,count,persons,115
E02001259,Old Trafford,People on Universal Credit,2019-12,count,persons,1004
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-12,count,persons,230
E02001261,Gorse Hill,People on Universal Credit,2019-12,count,persons,585
E02001262,Firswood,People on Universal Credit,2019-12,count,persons,460
E02001263,Davyhulme,People on Universal Credit,2019-12,count,persons,123
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-12,count,persons,366
E02001265,Flixton & Moorside,People on Universal Credit,2019-12,count,persons,292
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-12,count,persons,446
E02001267,Urmston East,People on Universal Credit,2019-12,count,persons,247
E02001268,Urmston West,People on Universal Credit,2019-12,count,persons,110
E02001269,Stretford East,People on Universal Credit,2019-12,count,persons,471
E02001270,Sale North,People on Universal Credit,2019-12,count,persons,218
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-12,count,persons,318
E02001272,Sale East,People on Universal Credit,2019-12,count,persons,152
E02001273,Sale Central,People on Universal Credit,2019-12,count,persons,244
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-12,count,persons,103
E02001275,Partington,People on Universal Credit,2019-12,count,persons,817
E02001276,Sale Moor,People on Universal Credit,2019-12,count,persons,404
E02001277,Broadheath & Firsway,People on Universal Credit,2019-12,count,persons,731
E02001278,West Timperley,People on Universal Credit,2019-12,count,persons,147
E02001279,Timperley North,People on Universal Credit,2019-12,count,persons,97
E02001280,Timperley East,People on Universal Credit,2019-12,count,persons,447
E02001281,Timperley South,People on Universal Credit,2019-12,count,persons,89
E02001282,Altrincham East,People on Universal Credit,2019-12,count,persons,221
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-12,count,persons,191
E02001284,Hale,People on Universal Credit,2019-12,count,persons,79
E02001285,Bowdon,People on Universal Credit,2019-12,count,persons,149
E02001286,Hale Barns,People on Universal Credit,2019-12,count,persons,114
