area_name,area_code,date,place,percent
Greater Manchester,E47000001,2020-04-01,Residential,0.28
Greater Manchester,E47000001,2020-04-02,Retail & recreation,-0.75
Greater Manchester,E47000001,2020-04-02,Grocery & pharmacy,-0.33
Greater Manchester,E47000001,2020-04-02,Parks,-0.36
Greater Manchester,E47000001,2020-04-02,Transit stations,-0.79
Greater Manchester,E47000001,2020-04-02,Workplaces,-0.69
Greater Manchester,E47000001,2020-04-02,Residential,0.28
Greater Manchester,E47000001,2020-04-03,Retail & recreation,-0.74
Greater Manchester,E47000001,2020-04-03,Grocery & pharmacy,-0.3
Greater Manchester,E47000001,2020-04-03,Parks,-0.23
Greater Manchester,E47000001,2020-04-03,Transit stations,-0.77
Greater Manchester,E47000001,2020-04-03,Workplaces,-0.68
Greater Manchester,E47000001,2020-04-03,Residential,0.29
Greater Manchester,E47000001,2020-04-04,Retail & recreation,-0.8
Greater Manchester,E47000001,2020-04-04,Grocery & pharmacy,-0.36
Greater Manchester,E47000001,2020-04-04,Parks,-0.41
Greater Manchester,E47000001,2020-04-04,Transit stations,-0.78
Greater Manchester,E47000001,2020-04-04,Workplaces,-0.57
Greater Manchester,E47000001,2020-04-04,Residential,0.19
Greater Manchester,E47000001,2020-04-05,Retail & recreation,-0.81
Greater Manchester,E47000001,2020-04-05,Grocery & pharmacy,-0.41
Greater Manchester,E47000001,2020-04-05,Parks,-0.22
Greater Manchester,E47000001,2020-04-05,Transit stations,-0.78
Greater Manchester,E47000001,2020-04-05,Workplaces,-0.54
Greater Manchester,E47000001,2020-04-05,Residential,0.15
Greater Manchester,E47000001,2020-04-06,Retail & recreation,-0.71
Greater Manchester,E47000001,2020-04-06,Grocery & pharmacy,-0.31
Greater Manchester,E47000001,2020-04-06,Parks,-0.2
Greater Manchester,E47000001,2020-04-06,Transit stations,-0.76
Greater Manchester,E47000001,2020-04-06,Workplaces,-0.68
Greater Manchester,E47000001,2020-04-06,Residential,0.26
Greater Manchester,E47000001,2020-04-07,Retail & recreation,-0.71
Greater Manchester,E47000001,2020-04-07,Grocery & pharmacy,-0.28
Greater Manchester,E47000001,2020-04-07,Parks,0.01
Greater Manchester,E47000001,2020-04-07,Transit stations,-0.74
Greater Manchester,E47000001,2020-04-07,Workplaces,-0.69
Greater Manchester,E47000001,2020-04-07,Residential,0.26
Greater Manchester,E47000001,2020-04-08,Retail & recreation,-0.72
Greater Manchester,E47000001,2020-04-08,Grocery & pharmacy,-0.27
Greater Manchester,E47000001,2020-04-08,Parks,-0.13
Greater Manchester,E47000001,2020-04-08,Transit stations,-0.74
Greater Manchester,E47000001,2020-04-08,Workplaces,-0.69
